2023-10-03T17:42:06.815+07:00  WARN 1056 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-03T17:42:07.086+07:00  INFO 1056 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5e722adb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@11510502, org.springframework.security.web.context.SecurityContextHolderFilter@3ab3de1, org.springframework.security.web.header.HeaderWriterFilter@69c7eb90, org.springframework.security.web.authentication.logout.LogoutFilter@599331cb, com.springbot.tttn.application.security.AuthTokenFilter@556c130f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39e8c31a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@786165e7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4ef0f6be, org.springframework.security.web.session.SessionManagementFilter@322fe2f7, org.springframework.security.web.access.ExceptionTranslationFilter@70bfb308, org.springframework.security.web.access.intercept.AuthorizationFilter@1aeaa0cf]
2023-10-03T17:42:07.271+07:00  INFO 1056 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2023-10-03T17:42:07.311+07:00  INFO 1056 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2023-10-03T17:42:07.319+07:00  INFO 1056 --- [restartedMain] com.springbot.tttn.TttnApplication       : Started TttnApplication in 4.492 seconds (process running for 5.054)
2023-10-03T17:43:17.684+07:00  INFO 1056 --- [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-10-03T17:43:17.684+07:00  INFO 1056 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-10-03T17:43:17.685+07:00  INFO 1056 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-10-03T17:43:17.777+07:00  INFO 1056 --- [http-nio-8080-exec-2] c.s.t.d.s.impl.SubjectServiceImpl        : Action: Register Admin
2023-10-03T17:43:17.978+07:00  INFO 1056 --- [http-nio-8080-exec-2] c.s.t.d.s.impl.SubjectServiceImpl        : Register successfully!
2023-10-03T17:43:32.234+07:00  INFO 1056 --- [http-nio-8080-exec-3] c.s.t.d.s.impl.SubjectServiceImpl        : Action: User Login
2023-10-03T17:43:32.510+07:00  INFO 1056 --- [http-nio-8080-exec-3] c.s.t.d.s.impl.SubjectServiceImpl        : User admin login successfully!
2023-10-03T17:44:02.373+07:00  INFO 1056 --- [http-nio-8080-exec-4] c.s.t.d.services.impl.ClassServiceImpl   : Action: Create Student
2023-10-03T17:44:02.496+07:00  INFO 1056 --- [http-nio-8080-exec-4] c.s.t.d.services.impl.ClassServiceImpl   : Create Student: com.springbot.tttn.application.entities.Student@66502080
